Lab,Location,Begin,End,Current Use,Machines (circ.(km)/CoM(GeV)),Comment
DESY,"Hamburg, Germany",1959,--,LS (PP),"DESY(0.3/-), PETRA(2.3/-), HERA (6.3/314)",
CERN,"Geneva, Switzerland",1954,--,PP,"ISR(0.47/63), SPS(7/900), LHC (27/13000)",
SLAC,"California, US",1962,--,LS (PP),"SPEAR(0.25/4), PEP(2.2/30)",
FermiLab,"Illinois, US",1967,--,PP ,TeVatron(6.4/1960),
KEK ,"Tsukuba/Tokai, Japan",1997,--,PP,KEKB(3/10.6),
BNL,"New York, US",1947,--,,,
BINP,"Siberia, Russia",1959,--,,,
SNOLAB,"Ontario, Canada",1992,--,,,
ICRR,"Gifu, Japan",1976,--,,,
J-PARC,"Tokai, Japan",2009,--,,,Japan Proton Accelerator Research Complex
LNGS,"Abruzzo, Italy",1985,--,,,Â Laboratori Nazionali del Gran Sasso
